subject,date,probe,neuron_id,region,allen_acronym,x,y,z,p_object,p_goal,p_interaction,eta2_object,eta2_goal,eta2_interaction,n_encounters,t_win_start_s,t_win_end_s
466395,20241114,probe00,222,PERI,PERI5,-4648.498351025648,-3120.620108807573,-3969.976187807645,0.7080666994707698,0.6762792755619397,0.6783811153257282,0.0012346050684454962,0.0015348794990163624,0.0015138498213269262,118,0.5,1.0
466395,20241114,probe00,224,PERI,ECT5,-4642.689240186066,-3120.106267115312,-3947.306309893683,0.8099543951288547,0.9967474059448924,0.25673814566237335,0.0005094067569784173,1.4641376324495165e-07,0.011268567600186378,118,0.5,1.0
466395,20241114,probe00,225,PERI,ECT5,-4636.561640853271,-3119.564253699213,-3923.39354034664,0.05317698088987044,0.9736408697032821,0.4882117002341676,0.03239978034047217,9.619176790850235e-06,0.004224178392513355,118,0.5,1.0
466395,20241114,probe00,228,PERI,ECT5,-4624.306424353999,-3118.4802252895456,-3875.5679316571577,0.97326897865927,0.7225192802157887,0.4989168157438373,9.892619180145718e-06,0.0011103115251917327,0.004020395437282726,118,0.5,1.0
466395,20241114,probe00,229,PERI,ECT5,-4624.306424353999,-3118.4802252895456,-3875.5679316571577,0.920503846387411,0.029946791632675964,0.3101922099965237,8.774731664614888e-05,0.040667370975423646,0.009032473340167253,118,0.5,1.0
466395,20241114,probe00,230,PERI,ECT5,-4624.306424353999,-3118.4802252895456,-3875.5679316571577,1.0,1.0,0.18544580950702336,1.742629126690101e-32,5.823837058741987e-33,0.015329790301981632,118,0.5,1.0
466395,20241114,probe00,231,PERI,ECT5,-4624.306424353999,-3118.4802252895456,-3875.5679316571577,0.7669011481095352,0.00016315860253043752,0.1459076170825843,0.0007738881427160097,0.11770239022244247,0.018457377596894996,118,0.5,1.0
466395,20241114,probe00,232,PERI,ECT5,-4630.434041520475,-3119.0222402831137,-3899.4807707995974,0.8999504427017992,0.28275241801773526,0.9433475790838647,0.000139253365048342,0.010114119711418288,4.449158621982446e-05,118,0.5,1.0
466395,20241114,probe00,234,PERI,ECT5,-4630.434041520475,-3119.0222402831137,-3899.4807707995974,0.11860027066896746,0.14172242223290843,0.3712369025282022,0.021230993512166653,0.018843295275733498,0.007019391214292873,118,0.5,1.0
466395,20241114,probe00,235,PERI,ECT5,-4630.434041520475,-3119.0222402831137,-3899.4807707995974,0.8974499730183427,0.9641922886525329,0.035149562025110416,0.0001463395014727711,1.7756640128831866e-05,0.03834493721027427,118,0.5,1.0
466395,20241114,probe00,238,PERI,ECT5,-4624.306424353999,-3118.4802252895456,-3875.5679316571577,0.5987516530975083,0.08514809592532414,0.6720699828473526,0.002436497142565416,0.02577421582493795,0.0015775076240738106,118,0.5,1.0
466395,20241114,probe00,241,PERI,ECT5,-4612.051225688409,-3117.396198457347,-3827.742392563072,0.9868356009193395,0.28261172748489566,0.040997278620647705,2.398616243185356e-06,0.010120003905560018,0.03612457494498093,118,0.5,1.0
