start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
3653.9208,3653.9392,101936,101959,0.99537504,344,462910,20240813,probe01
3657.7799999999997,3657.8176,106760,106807,0.99175555,344,462910,20240813,probe01
3667.2455999999997,3667.2704,118592,118623,0.9963651,344,462910,20240813,probe01
3668.084,3668.1279999999997,119640,119695,0.99050796,344,462910,20240813,probe01
3670.6184,3670.6432,122808,122839,0.9905545,344,462910,20240813,probe01
3671.1432,3671.1679999999997,123464,123495,0.99053955,344,462910,20240813,probe01
3673.2552,3673.2736,126104,126127,0.99825555,344,462910,20240813,probe01
3673.3896,3673.408,126272,126295,0.9973985,344,462910,20240813,probe01
3675.5144,3675.5391999999997,128928,128959,0.99839073,344,462910,20240813,probe01
3679.988,3680.0063999999998,134520,134543,0.99548954,344,462910,20240813,probe01
3684.8199999999997,3684.8383999999996,140560,140583,0.99321324,344,462910,20240813,probe01
3688.5063999999998,3688.5247999999997,145168,145191,0.9943372,344,462910,20240813,probe01
3690.5416,3690.56,147712,147735,0.98777914,344,462910,20240813,probe01
3692.3784,3692.4031999999997,150008,150039,0.9987188,344,462910,20240813,probe01
3697.4087999999997,3697.4271999999996,156296,156319,0.9946662,344,462910,20240813,probe01
3702.1384,3702.1632,162208,162239,0.9983242,344,462910,20240813,probe01
3710.0231999999996,3710.0416,172064,172087,0.9820565,344,462910,20240813,probe01
3712.7816,3712.7999999999997,175512,175535,0.98196894,344,462910,20240813,probe01
3715.4056,3715.424,178792,178815,0.9970272,344,462910,20240813,probe01
3721.4024,3721.44,186288,186335,0.9978409,344,462910,20240813,probe01
3722.9831999999997,3723.0208,188264,188311,0.9947493,344,462910,20240813,probe01
3731.5784,3731.5968,199008,199031,0.9850968,344,462910,20240813,probe01
3741.0184,3741.056,210808,210855,0.9968392,344,462910,20240813,probe01
3746.5544,3746.5791999999997,217728,217759,0.9984732,344,462910,20240813,probe01
3749.076,3749.1007999999997,220880,220911,0.9945076,344,462910,20240813,probe01
3752.2056,3752.2239999999997,224792,224815,0.9919881,344,462910,20240813,probe01
3754.0616,3754.0928,227112,227151,0.9911125,344,462910,20240813,probe01
3761.076,3761.1072,235880,235919,0.9986371,344,462910,20240813,probe01
3765.8183999999997,3765.8368,241808,241831,0.9986808,344,462910,20240813,probe01
3768.3592,3768.3968,244984,245031,0.9978702,344,462910,20240813,probe01
3768.5319999999997,3768.5568,245200,245231,0.9888234,344,462910,20240813,probe01
3774.6056,3774.6304,252792,252823,0.9969964,344,462910,20240813,probe01
3776.9224,3776.9408,255688,255711,0.99584186,344,462910,20240813,probe01
3780.7752,3780.7999999999997,260504,260535,0.9912417,344,462910,20240813,probe01
3780.9928,3781.0112,260776,260799,0.9904996,344,462910,20240813,probe01
3781.2551999999996,3781.2799999999997,261104,261135,0.9924535,344,462910,20240813,probe01
3781.5047999999997,3781.5296,261416,261447,0.9947343,344,462910,20240813,probe01
