region_pair,region1,region2,object,p_value,f_stat,subject,date
dCA1 → LEC,dCA1,LEC,object1,4.057438667737449e-11,1.2979847927178454,462910,20240813
LEC → dCA1,LEC,dCA1,object2,1.175662845564214e-09,1.2729893159720818,462910,20240813
dCA1 → LEC,dCA1,LEC,object2,2.20720801969112e-06,1.2210794026745968,462910,20240813
LEC → dCA1,LEC,dCA1,object3,0.019425024119230704,1.0207898750705504,462910,20240813
dCA1 → LEC,dCA1,LEC,object3,0.00033259755034041453,1.070815177554144,462910,20240813
VIS → iCA1,VIS,iCA1,object1,2.2365317036880034e-10,1.4218180545262493,462910,20240813
iCA1 → VIS,iCA1,VIS,object1,1.6878373230158063e-26,1.5980142664803347,462910,20240813
VIS → iCA1,VIS,iCA1,object2,1.175662845564214e-09,1.301749970386084,462910,20240813
iCA1 → VIS,iCA1,VIS,object2,7.58428179392946e-17,1.370856859448733,462910,20240813
VIS → iCA1,VIS,iCA1,object3,0.05397718401126959,1.1666198302049635,462910,20240813
iCA1 → VIS,iCA1,VIS,object3,2.20720801969112e-06,1.1008938068176837,462910,20240813
VIS → dCA1,VIS,dCA1,object1,5.436950499728254e-07,1.2196518227832012,462910,20240813
dCA1 → VIS,dCA1,VIS,object1,1.175662845564214e-09,1.3265778136143447,462910,20240813
VIS → dCA1,VIS,dCA1,object2,2.20720801969112e-06,1.1379529308453191,462910,20240813
dCA1 → VIS,dCA1,VIS,object2,4.057438667737449e-11,1.2053959106411125,462910,20240813
VIS → dCA1,VIS,dCA1,object3,0.019425024119230704,1.0834904993455,462910,20240813
dCA1 → VIS,dCA1,VIS,object3,3.0617077160851854e-05,1.0669910891755439,462910,20240813
iCA1 → dCA1,iCA1,dCA1,object1,1.2054375809229141e-18,1.5110361702522586,462910,20240813
dCA1 → iCA1,dCA1,iCA1,object1,1.8061767659361287e-21,1.3579128666280047,462910,20240813
iCA1 → dCA1,iCA1,dCA1,object2,1.8427234971554062e-13,1.4281151487325352,462910,20240813
dCA1 → iCA1,dCA1,iCA1,object2,1.163437733848538e-12,1.3734448103062662,462910,20240813
iCA1 → dCA1,iCA1,dCA1,object3,0.0009939573501050586,1.070637365180654,462910,20240813
dCA1 → iCA1,dCA1,iCA1,object3,0.019425024119230704,1.0269746777862094,462910,20240813
LEC → PERI 36,LEC,PERI 36,object1,1.0806858315507446e-08,1.172972524394877,462910,20240814
PERI 36 → LEC,PERI 36,LEC,object1,4.812676294926151e-10,1.2335629513109008,462910,20240814
LEC → PERI 36,LEC,PERI 36,object2,0.003873880061062304,1.0659165551776604,462910,20240814
PERI 36 → LEC,PERI 36,LEC,object2,2.333699181136471e-09,1.2186793980844195,462910,20240814
LEC → PERI 36,LEC,PERI 36,object3,0.0003655539070208986,1.1681974058308084,462910,20240814
PERI 36 → LEC,PERI 36,LEC,object3,3.746511293372324e-05,1.087621787991953,462910,20240814
LEC → iCA1,LEC,iCA1,object1,0.008046973997633468,1.1359666391848424,462910,20240814
iCA1 → LEC,iCA1,LEC,object1,1.0993857002703593e-05,1.2130072948767507,462910,20240814
LEC → iCA1,LEC,iCA1,object2,0.0010418995332597337,1.1235798873928937,462910,20240814
iCA1 → LEC,iCA1,LEC,object2,1.0993857002703593e-05,1.172272095940857,462910,20240814
LEC → iCA1,LEC,iCA1,object3,0.008046973997633468,1.0972193755918538,462910,20240814
