region_pair,region1,region2,object,p_value,f_stat,subject,date
ENT → PERI 36,ENT,PERI 36,object2,2.9305063546637743e-15,1.3666257348993294,462910,20240814
PERI 36 → ENT,PERI 36,ENT,object2,3.971768370073273e-12,1.349379719909419,462910,20240814
ENT → vCA1,ENT,vCA1,object2,2.3093022347748495e-07,1.2817176469341383,462910,20240814
vCA1 → ENT,vCA1,ENT,object2,6.953899010318352e-13,1.3960824839618424,462910,20240814
ENT → dCA1,ENT,dCA1,object2,5.738892070748117e-10,1.417830239399295,462910,20240814
dCA1 → ENT,dCA1,ENT,object2,2.757357137855018e-09,1.411461057207663,462910,20240814
PERI 36 → vCA1,PERI 36,vCA1,object2,9.158717089653563e-07,1.1067715823114515,462910,20240814
vCA1 → PERI 36,vCA1,PERI 36,object2,1.2317419799254568e-05,1.2340067042967429,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object2,4.1619949190722606e-05,1.2845439550575395,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object2,9.158717089653563e-07,1.0578615671289038,462910,20240814
vCA1 → dCA1,vCA1,dCA1,object2,0.004028058218948456,0.9498837370780577,462910,20240814
dCA1 → vCA1,dCA1,vCA1,object2,2.3093022347748495e-07,1.1714210374802612,462910,20240814
ENT → PERI 36,ENT,PERI 36,object3,3.168659920889793e-24,1.3133442614779431,462910,20240814
PERI 36 → ENT,PERI 36,ENT,object3,1.8873812448374138e-14,1.4807958186318575,462910,20240814
ENT → vCA1,ENT,vCA1,object3,1.2653074181941497e-08,1.2219867579823593,462910,20240814
vCA1 → ENT,vCA1,ENT,object3,6.298256376889376e-17,1.4600658605090548,462910,20240814
ENT → dCA1,ENT,dCA1,object3,5.738892070748117e-10,1.2087338351852794,462910,20240814
dCA1 → ENT,dCA1,ENT,object3,3.971768370073273e-12,1.3378965843921224,462910,20240814
PERI 36 → vCA1,PERI 36,vCA1,object3,1.2653074181941497e-08,1.2374044584807393,462910,20240814
vCA1 → PERI 36,vCA1,PERI 36,object3,2.3093022347748495e-07,1.135640940996082,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object3,9.158717089653563e-07,1.0624703622588154,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object3,1.2317419799254568e-05,0.9948904371762444,462910,20240814
vCA1 → dCA1,vCA1,dCA1,object3,5.538457959958742e-08,1.1178155245708499,462910,20240814
