region_pair,region1,region2,object,p_value,f_stat,null_f_stat,subject,date
PERI 35 → dCA1,PERI 35,dCA1,object3,0.6167664670658682,1.1137408927993142,1.0123286098007003,466394,20241108
dCA1 → PERI 35,dCA1,PERI 35,object3,0.35528942115768464,1.1199957969998287,1.0794554951524251,466394,20241108
PERI 36 → TEa,PERI 36,TEa,object1,0.2375249500998004,1.1441245730744385,1.0598563699394492,466394,20241108
TEa → PERI 36,TEa,PERI 36,object1,0.03992015968063872,1.2256461419789069,1.1350844963947089,466394,20241108
PERI 36 → TEa,PERI 36,TEa,object2,0.5169660678642715,1.0857335413214382,1.0097168522778492,466394,20241108
TEa → PERI 36,TEa,PERI 36,object2,0.1217564870259481,1.1724564913104782,1.152324458254499,466394,20241108
PERI 36 → TEa,PERI 36,TEa,object3,0.043912175648702596,1.1944098963263026,1.1475892072996552,466394,20241108
TEa → PERI 36,TEa,PERI 36,object3,0.16966067864271456,1.1582307095515723,1.0683907542315219,466394,20241108
PERI 36 → dCA1,PERI 36,dCA1,object1,0.4031936127744511,1.134226803473096,1.20352482969153,466394,20241108
dCA1 → PERI 36,dCA1,PERI 36,object1,0.6966067864271457,1.0545299649419329,1.109277161548271,466394,20241108
PERI 36 → dCA1,PERI 36,dCA1,object2,0.09780439121756487,1.1638737166702557,1.2004454211759044,466394,20241108
dCA1 → PERI 36,dCA1,PERI 36,object2,0.5608782435129741,1.0932199737041164,1.0905282468828494,466394,20241108
PERI 36 → dCA1,PERI 36,dCA1,object3,0.8023952095808383,1.0835677820099727,1.2321617553615452,466394,20241108
dCA1 → PERI 36,dCA1,PERI 36,object3,0.6387225548902196,1.0885963130961165,1.0734443702294583,466394,20241108
TEa → dCA1,TEa,dCA1,object1,0.3912175648702595,1.1317702714091276,1.0345514007290908,466394,20241108
dCA1 → TEa,dCA1,TEa,object1,0.00998003992015968,1.2148941636768935,1.1506539720150917,466394,20241108
TEa → dCA1,TEa,dCA1,object2,0.6586826347305389,1.0803912609534714,1.049942783541928,466394,20241108
dCA1 → TEa,dCA1,TEa,object2,0.22954091816367264,1.1510603739187708,1.1869114537332728,466394,20241108
TEa → dCA1,TEa,dCA1,object3,0.688622754491018,1.1029719457203284,1.136496970525005,466394,20241108
dCA1 → TEa,dCA1,TEa,object3,0.3473053892215569,1.129277382662802,1.03295168083235,466394,20241108
AUD → PERI 35,AUD,PERI 35,object1,0.6367265469061876,1.1187702765570795,1.297351676801197,466395,20241114
PERI 35 → AUD,PERI 35,AUD,object1,0.01996007984031936,1.265862898930919,1.1494433525801777,466395,20241114
AUD → PERI 35,AUD,PERI 35,object2,0.2375249500998004,1.1934611961309136,1.0776672291608083,466395,20241114
PERI 35 → AUD,PERI 35,AUD,object2,0.437125748502994,1.112637855763445,1.1083861592069093,466395,20241114
AUD → PERI 35,AUD,PERI 35,object3,0.9421157684630739,0.9805965653883185,1.1214547079677433,466395,20241114
PERI 35 → AUD,PERI 35,AUD,object3,0.4171656686626746,1.0915748398279925,1.0696330856132292,466395,20241114
AUD → PERI 36,AUD,PERI 36,object1,0.26147704590818366,1.1471796902863527,1.1848601196661337,466395,20241114
PERI 36 → AUD,PERI 36,AUD,object1,0.16367265469061876,1.1756825495858239,1.1893466947037528,466395,20241114
AUD → PERI 36,AUD,PERI 36,object2,0.1377245508982036,1.1676483070648798,1.2755583061294882,466395,20241114
PERI 36 → AUD,PERI 36,AUD,object2,0.4151696606786427,1.1022795823685352,1.0839992941680352,466395,20241114
AUD → PERI 36,AUD,PERI 36,object3,0.18962075848303392,1.1086407953523345,1.0857971540718636,466395,20241114
PERI 36 → AUD,PERI 36,AUD,object3,0.15169660678642716,1.1230156224922647,0.9713763752178067,466395,20241114
AUD → TEa,AUD,TEa,object1,0.24750499001996007,1.1590123511611314,1.1792886408801089,466395,20241114
TEa → AUD,TEa,AUD,object1,0.3013972055888224,1.1356724951098525,1.0917992738950808,466395,20241114
AUD → TEa,AUD,TEa,object2,0.45708582834331335,1.12001695551975,1.1996582742937585,466395,20241114
TEa → AUD,TEa,AUD,object2,0.7524950099800399,1.0475934843498662,1.0839483290769298,466395,20241114
AUD → TEa,AUD,TEa,object3,0.09381237524950099,1.1309965837713924,1.001935120146718,466395,20241114
TEa → AUD,TEa,AUD,object3,0.810379241516966,0.996195340805171,1.0914042232215757,466395,20241114
AUD → dCA1,AUD,dCA1,object1,0.4630738522954092,1.1414974699171572,1.126112401664006,466395,20241114
dCA1 → AUD,dCA1,AUD,object1,0.8143712574850299,1.055225637960565,1.0415443475433777,466395,20241114
AUD → dCA1,AUD,dCA1,object2,0.590818363273453,1.1067758160034071,1.2100139471543612,466395,20241114
dCA1 → AUD,dCA1,AUD,object2,0.7025948103792415,1.0502082636482821,1.0112105199733075,466395,20241114
AUD → dCA1,AUD,dCA1,object3,0.500998003992016,1.074232363532863,1.0708535523614302,466395,20241114
dCA1 → AUD,dCA1,AUD,object3,0.437125748502994,1.0797160114482318,1.0474923098915374,466395,20241114
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.3213572854291417,1.1326815463070046,1.1575782484086115,466395,20241114
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.844311377245509,1.0350414144283524,1.1440147849300042,466395,20241114
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.7125748502994012,1.0644409509734971,0.9937509854959687,466395,20241114
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.2654690618762475,1.1419175828394315,1.0691892812138752,466395,20241114
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.29740518962075846,1.10438145503111,1.1153589647857378,466395,20241114
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.16167664670658682,1.1075668113762374,1.0837008755435362,466395,20241114
PERI 35 → TEa,PERI 35,TEa,object1,0.0718562874251497,1.1978833819259993,1.0856188879205226,466395,20241114
TEa → PERI 35,TEa,PERI 35,object1,0.7325349301397206,1.0803266031403511,1.161152305239278,466395,20241114
PERI 35 → TEa,PERI 35,TEa,object2,0.7744510978043913,1.0313301627863478,1.049773092266432,466395,20241114
TEa → PERI 35,TEa,PERI 35,object2,0.5708582834331337,1.1038390023408282,1.156926527915348,466395,20241114
PERI 35 → TEa,PERI 35,TEa,object3,0.7345309381237525,1.0154343335063625,1.0629335180439308,466395,20241114
TEa → PERI 35,TEa,PERI 35,object3,0.5409181636726547,1.0432727348685695,0.9912131872550733,466395,20241114
PERI 35 → dCA1,PERI 35,dCA1,object1,0.4491017964071856,1.1533934323551231,1.0510704603558112,466395,20241114
dCA1 → PERI 35,dCA1,PERI 35,object1,0.5369261477045908,1.1253552519732093,1.0607809289236778,466395,20241114
PERI 35 → dCA1,PERI 35,dCA1,object2,0.688622754491018,1.0918155293911722,1.1228097503113448,466395,20241114
dCA1 → PERI 35,dCA1,PERI 35,object2,0.3093812375249501,1.175001464700308,1.111145944531899,466395,20241114
PERI 35 → dCA1,PERI 35,dCA1,object3,0.015968063872255488,1.212864228698495,1.0533134399391,466395,20241114
dCA1 → PERI 35,dCA1,PERI 35,object3,0.7385229540918163,1.037701158072005,1.0522344155874426,466395,20241114
PERI 36 → TEa,PERI 36,TEa,object1,0.6846307385229541,1.0490627505069878,1.0880944426365198,466395,20241114
TEa → PERI 36,TEa,PERI 36,object1,0.09780439121756487,1.182122422102261,1.145123010228242,466395,20241114
PERI 36 → TEa,PERI 36,TEa,object2,0.26147704590818366,1.122165406880219,1.2472419383750968,466395,20241114
TEa → PERI 36,TEa,PERI 36,object2,0.03792415169660679,1.21770778639635,1.1997865493211763,466395,20241114
PERI 36 → TEa,PERI 36,TEa,object3,0.6526946107784432,1.0483177570631925,1.1399303600305157,466395,20241114
TEa → PERI 36,TEa,PERI 36,object3,0.5768463073852296,1.0430106140651647,1.0021214180399918,466395,20241114
PERI 36 → dCA1,PERI 36,dCA1,object1,0.26746506986027946,1.15684997524211,1.0683007411334293,466395,20241114
dCA1 → PERI 36,dCA1,PERI 36,object1,0.3393213572854291,1.1407671429531878,1.0661539964233195,466395,20241114
PERI 36 → dCA1,PERI 36,dCA1,object2,0.42115768463073855,1.1303364997619711,1.1128633064485562,466395,20241114
dCA1 → PERI 36,dCA1,PERI 36,object2,0.24750499001996007,1.1471637678778461,1.200510638500638,466395,20241114
PERI 36 → dCA1,PERI 36,dCA1,object3,0.16367265469061876,1.112672206747531,1.0683157717206517,466395,20241114
dCA1 → PERI 36,dCA1,PERI 36,object3,0.5948103792415169,1.0374332979396075,1.0058000477594773,466395,20241114
TEa → dCA1,TEa,dCA1,object1,0.059880239520958084,1.223676317553541,1.1224043047358219,466395,20241114
dCA1 → TEa,dCA1,TEa,object1,0.14171656686626746,1.164035869529112,1.0059151982547152,466395,20241114
TEa → dCA1,TEa,dCA1,object2,0.40119760479041916,1.1053305817284043,1.0961071881021553,466395,20241114
dCA1 → TEa,dCA1,TEa,object2,0.40718562874251496,1.1098846863801872,1.134620300301726,466395,20241114
TEa → dCA1,TEa,dCA1,object3,0.9301397205588823,0.9784701665863621,1.1602678183242028,466395,20241114
dCA1 → TEa,dCA1,TEa,object3,0.1656686626746507,1.126851486641261,1.0474414378589991,466395,20241114
AUD → TEa,AUD,TEa,object1,0.04590818363273453,1.223864967276378,1.0894344025350784,466395,20241115
TEa → AUD,TEa,AUD,object1,0.6167664670658682,1.009139562576575,0.9092141304214856,466395,20241115
AUD → TEa,AUD,TEa,object2,0.3373253493013972,1.1389747261990864,1.0165370349687102,466395,20241115
