n_patterns,log_likelihood,region,subject,date
9,-575645.75,PERI,466396,20241031
10,-574347.625,PERI,466396,20241031
11,-576572.375,PERI,466396,20241031
12,-568257.9375,PERI,466396,20241031
1,-546074.125,TEa,466396,20241031
2,-519735.25,TEa,466396,20241031
3,-490891.125,TEa,466396,20241031
4,-465849.40625,TEa,466396,20241031
5,-456582.03125,TEa,466396,20241031
6,-446637.5625,TEa,466396,20241031
7,-430718.46875,TEa,466396,20241031
8,-424224.03125,TEa,466396,20241031
9,-414451.21875,TEa,466396,20241031
10,-410273.15625,TEa,466396,20241031
11,-404889.03125,TEa,466396,20241031
12,-399398.71875,TEa,466396,20241031
1,-892329.3125,VIS,466396,20241031
2,-866466.8125,VIS,466396,20241031
3,-851260.375,VIS,466396,20241031
4,-834066.125,VIS,466396,20241031
5,-822152.375,VIS,466396,20241031
6,-813474.25,VIS,466396,20241031
7,-802325.0,VIS,466396,20241031
8,-800166.75,VIS,466396,20241031
9,-784871.125,VIS,466396,20241031
10,-786992.0,VIS,466396,20241031
11,-779990.0625,VIS,466396,20241031
12,-779215.4375,VIS,466396,20241031
1,-2574128.25,CA1,466396,20241031
2,-2499213.5,CA1,466396,20241031
3,-2437982.5,CA1,466396,20241031
4,-2404618.0,CA1,466396,20241031
5,-2369063.25,CA1,466396,20241031
6,-2302288.5,CA1,466396,20241031
7,-2336283.0,CA1,466396,20241031
8,-2259146.75,CA1,466396,20241031
9,-2252419.75,CA1,466396,20241031
10,-2279276.5,CA1,466396,20241031
11,-2215940.75,CA1,466396,20241031
12,-2187392.0,CA1,466396,20241031
1,-614175.75,LEC,466396,20241101
2,-559959.625,LEC,466396,20241101
3,-538503.75,LEC,466396,20241101
4,-526243.1875,LEC,466396,20241101
5,-509612.125,LEC,466396,20241101
