region_1,region_2,region_pair,causality_score,object,subject,date
PERI,AUD,AUD <> PERI,0.19968719370244922,2,466394,20241108
AUD,TEa,AUD <> TEa,0.24703993824227663,1,466394,20241108
TEa,AUD,AUD <> TEa,0.08125597693751385,1,466394,20241108
AUD,TEa,AUD <> TEa,0.2474461742818491,2,466394,20241108
TEa,AUD,AUD <> TEa,0.08087393027287755,2,466394,20241108
AUD,VIS,AUD <> VIS,0.26170160167946693,1,466394,20241108
VIS,AUD,AUD <> VIS,0.014658171669112229,1,466394,20241108
AUD,VIS,AUD <> VIS,0.2551330007958675,2,466394,20241108
VIS,AUD,AUD <> VIS,0.013960135574594372,2,466394,20241108
AUD,CA1,AUD <> CA1,0.2403455873926247,1,466394,20241108
CA1,AUD,AUD <> CA1,0.10028647066432432,1,466394,20241108
AUD,CA1,AUD <> CA1,0.241634537630301,2,466394,20241108
CA1,AUD,AUD <> CA1,0.1002562557846159,2,466394,20241108
LEC,PERI,LEC <> PERI,0.011821483267683595,1,466394,20241108
PERI,LEC,LEC <> PERI,0.15957585916586126,1,466394,20241108
LEC,PERI,LEC <> PERI,0.012540130970698475,2,466394,20241108
PERI,LEC,LEC <> PERI,0.1665644464819658,2,466394,20241108
LEC,TEa,LEC <> TEa,0.01125528076113493,1,466394,20241108
TEa,LEC,LEC <> TEa,0.0595418290353701,1,466394,20241108
LEC,TEa,LEC <> TEa,0.01150688792996285,2,466394,20241108
TEa,LEC,LEC <> TEa,0.06658607082871175,2,466394,20241108
LEC,VIS,LEC <> VIS,0.009491645712537937,1,466394,20241108
VIS,LEC,LEC <> VIS,0.010913638734435493,1,466394,20241108
LEC,VIS,LEC <> VIS,0.01074876375236218,2,466394,20241108
VIS,LEC,LEC <> VIS,0.011704192991463608,2,466394,20241108
LEC,CA1,LEC <> CA1,0.01082018104872079,1,466394,20241108
CA1,LEC,LEC <> CA1,0.07773135281015973,1,466394,20241108
LEC,CA1,LEC <> CA1,0.010664627223557226,2,466394,20241108
CA1,LEC,LEC <> CA1,0.07685779939176651,2,466394,20241108
PERI,TEa,PERI <> TEa,0.17389267245483633,1,466394,20241108
TEa,PERI,PERI <> TEa,0.07568834161074753,1,466394,20241108
PERI,TEa,PERI <> TEa,0.17526510797304015,2,466394,20241108
TEa,PERI,PERI <> TEa,0.07639084104079677,2,466394,20241108
PERI,VIS,PERI <> VIS,0.1574017410425984,1,466394,20241108
VIS,PERI,PERI <> VIS,0.013147663449413547,1,466394,20241108
PERI,VIS,PERI <> VIS,0.15753953023848605,2,466394,20241108
VIS,PERI,PERI <> VIS,0.011860471524599441,2,466394,20241108
PERI,CA1,PERI <> CA1,0.1701638138081104,1,466394,20241108
CA1,PERI,PERI <> CA1,0.07203225866684144,1,466394,20241108
PERI,CA1,PERI <> CA1,0.1715258274513124,2,466394,20241108
CA1,PERI,PERI <> CA1,0.06979648263829324,2,466394,20241108
TEa,VIS,TEa <> VIS,0.07217730312586758,1,466394,20241108
VIS,TEa,TEa <> VIS,0.012429464940661059,1,466394,20241108
TEa,VIS,TEa <> VIS,0.06988237717596567,2,466394,20241108
VIS,TEa,TEa <> VIS,0.011268547047312767,2,466394,20241108
TEa,CA1,TEa <> CA1,0.06784817215638037,1,466394,20241108
CA1,TEa,TEa <> CA1,0.08408695244275594,1,466394,20241108
TEa,CA1,TEa <> CA1,0.06704971527843849,2,466394,20241108
CA1,TEa,TEa <> CA1,0.08786443372017101,2,466394,20241108
VIS,CA1,VIS <> CA1,0.011982765534941419,1,466394,20241108
CA1,VIS,VIS <> CA1,0.08348695673324731,1,466394,20241108
VIS,CA1,VIS <> CA1,0.0108507855472432,2,466394,20241108
CA1,VIS,VIS <> CA1,0.08771555772896507,2,466394,20241108
LEC,PERI,LEC <> PERI,0.04800239944181676,1,466395,20241113
PERI,LEC,LEC <> PERI,0.5682853221246008,1,466395,20241113
LEC,PERI,LEC <> PERI,0.049016428220546894,2,466395,20241113
PERI,LEC,LEC <> PERI,0.5836303229615614,2,466395,20241113
LEC,TEa,LEC <> TEa,0.2300051796077421,1,466395,20241113
TEa,LEC,LEC <> TEa,0.9999256479119283,1,466395,20241113
LEC,TEa,LEC <> TEa,0.22431493990699214,2,466395,20241113
TEa,LEC,LEC <> TEa,0.9999409362420564,2,466395,20241113
LEC,VIS,LEC <> VIS,0.02097392657565633,1,466395,20241113
VIS,LEC,LEC <> VIS,0.03781948482053578,1,466395,20241113
LEC,VIS,LEC <> VIS,0.024713014365847552,2,466395,20241113
VIS,LEC,LEC <> VIS,0.040434876945272855,2,466395,20241113
LEC,CA1,LEC <> CA1,0.0322322859262279,1,466395,20241113
CA1,LEC,LEC <> CA1,0.2923369242321736,1,466395,20241113
LEC,CA1,LEC <> CA1,0.032409712436672865,2,466395,20241113
CA1,LEC,LEC <> CA1,0.30021204901754084,2,466395,20241113
PERI,TEa,PERI <> TEa,0.948381779005492,1,466395,20241113
TEa,PERI,PERI <> TEa,0.9999895280518142,1,466395,20241113
