switch,context,distance,position,subject,date,probe,lda_pos,region
0,1,244069469261.3,720,459601,20240409,probe00,600,Cortex
0,2,3941746420351.946,720,459601,20240409,probe00,600,Cortex
1,1,6477662539971.267,720,459601,20240409,probe00,600,Cortex
1,2,6497788785253.327,720,459601,20240409,probe00,600,Cortex
0,1,7627497839417.159,730,459601,20240409,probe00,600,Cortex
0,2,6349863714416.097,730,459601,20240409,probe00,600,Cortex
1,1,12252055846372.48,730,459601,20240409,probe00,600,Cortex
1,2,13736404751278.117,730,459601,20240409,probe00,600,Cortex
0,1,8100797406688.295,740,459601,20240409,probe00,600,Cortex
0,2,-429444967464.6105,740,459601,20240409,probe00,600,Cortex
1,1,14239442543818.283,740,459601,20240409,probe00,600,Cortex
1,2,14106042923397.44,740,459601,20240409,probe00,600,Cortex
0,1,-918794818243.2727,750,459601,20240409,probe00,600,Cortex
0,2,90935908429518.61,750,459601,20240409,probe00,600,Cortex
1,1,7826280746788.49,750,459601,20240409,probe00,600,Cortex
1,2,7219468662318.652,750,459601,20240409,probe00,600,Cortex
0,1,-11588697048393.395,760,459601,20240409,probe00,600,Cortex
0,2,46515988841442.875,760,459601,20240409,probe00,600,Cortex
1,1,-3737441847135.847,760,459601,20240409,probe00,600,Cortex
1,2,-2113442186540.538,760,459601,20240409,probe00,600,Cortex
0,1,-15292551131902.303,770,459601,20240409,probe00,600,Cortex
0,2,14884784967033.441,770,459601,20240409,probe00,600,Cortex
1,1,-13277825841570.611,770,459601,20240409,probe00,600,Cortex
1,2,-7670117915450.599,770,459601,20240409,probe00,600,Cortex
0,1,-4326544973875.345,780,459601,20240409,probe00,600,Cortex
0,2,13335578079976.775,780,459601,20240409,probe00,600,Cortex
1,1,-15825481895515.42,780,459601,20240409,probe00,600,Cortex
1,2,-8343883019586.656,780,459601,20240409,probe00,600,Cortex
0,1,-2340731104033.8154,790,459601,20240409,probe00,600,Cortex
0,2,37977037853947.04,790,459601,20240409,probe00,600,Cortex
1,1,-10225094005286.676,790,459601,20240409,probe00,600,Cortex
1,2,-5921302768155.642,790,459601,20240409,probe00,600,Cortex
0,1,-1026215389171.9109,800,459601,20240409,probe00,600,Cortex
0,2,74094010776523.1,800,459601,20240409,probe00,600,Cortex
1,1,-3832849029044.897,800,459601,20240409,probe00,600,Cortex
1,2,-2978814675275.6533,800,459601,20240409,probe00,600,Cortex
0,1,-372105712049.32086,810,459601,20240409,probe00,600,Cortex
0,2,-15231622939756.012,810,459601,20240409,probe00,600,Cortex
1,1,-987199611684.1404,810,459601,20240409,probe00,600,Cortex
1,2,-1044433660250.2823,810,459601,20240409,probe00,600,Cortex
0,1,-104589160555.23499,820,459601,20240409,probe00,600,Cortex
0,2,-3715945641661.988,820,459601,20240409,probe00,600,Cortex
1,1,-197133088540.6381,820,459601,20240409,probe00,600,Cortex
1,2,-258331435788.3132,820,459601,20240409,probe00,600,Cortex
0,1,-22314988709.204983,830,459601,20240409,probe00,600,Cortex
0,2,-635942135206.5701,830,459601,20240409,probe00,600,Cortex
1,1,-32053009517.19744,830,459601,20240409,probe00,600,Cortex
1,2,-47841469178.52192,830,459601,20240409,probe00,600,Cortex
0,1,-3571981154.8993044,840,459601,20240409,probe00,600,Cortex
0,2,-79152302882.09921,840,459601,20240409,probe00,600,Cortex
